"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-icon href","text-ellipsis","he-lazy-image src","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-kadikoy-caferaga-kiralik/daire/5700-2579","19","48.500","27-02-2026","Kiralık Daire","1 +
                          1","50 m²","16
                        Yaşında","Bahçe Katı","Nesa'dan; Moda Bostan Sk.Ta, 2005 Yapımı, Bahçeli, Masrafsız 1+1","İstanbul / Kadıköy / Caferağa Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/nesa-5700/koray-karakartal-5700","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Nesa","Koray
          Karakartal"
"https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/10673-5589","19","66.000","25-02-2026","Kiralık Daire","1 +
                          1","75 m²","4
                        Yaşında","3. Kat","Rental Sea View Apartment İn New Building","İstanbul / Beyoğlu / Cihangir Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/prime-brokers-10673","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Prime Brokers",""
"https://www.hepsiemlak.com/istanbul-atasehir-ataturk-kiralik/residence/73228-1081","19","160.000","27-02-2026","Kiralık Residence","3 +
                          1","225 m²","6
                        Yaşında","21 ve üzeri","Ataşehir Metropol İstanbul’da Şahane Manzaralı 3+1 Kiralık Daire","İstanbul / Ataşehir / Atatürk Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-emniyet-evleri-kiralik/residence/2033-4416","19","34.000","04-03-2026","Kiralık Residence","Stüdyo","45 m²","5
                        Yaşında","1. Kat","Asistanbul Resıdencede Elk Su Herşey Dahil Eşyalı Daire Kaya A.Ş","İstanbul / Kağıthane / Emniyet Evleri Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/kaya-emlak-insaat-as-2033/yalcin-kaya-2033","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kaya Emlak İnşaat A.Ş.","Yalçın
          Kaya"
"https://www.hepsiemlak.com/istanbul-beykoz-acarlar-kiralik/daire/44019-18347","19","115.000","21-02-2026","Kiralık Daire","2 +
                          1","170 m²","2
                        Yaşında","21 ve üzeri","Pro Dan Acarverde De 21 Katta 2+1 Guney Cepheli Kiralık Daire","İstanbul / Beykoz / Acarlar Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/pro-gayrimenkul-44019","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Pro Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-beyoglu-kilicali-pasa-kiralik/daire/22475-3124","19","90.000","07-03-2026","Kiralık Daire","3 +
                          1","130 m²","30
                        Yaşında","2. Kat","Beyoğlu  Cihanğirde  Cadde   Üzerinde  Asansörlü  Kiralık  Daire  3+1  130  M2  Kat  2","İstanbul / Beyoğlu / Kılıçali Paşa Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/52307-4177","13","14.000","07-03-2026","Kiralık Daire","1 +
                          1","55 m²","30
                        Yaşında","Bodrum","Koçmer Emlak Mecidiyeköy Metro-Metrobüse 10 Dakika Yürüme  Kiralık  Bodrum Kat Daire  Doğalgaz Yok","İstanbul / Şişli / Mecidiyeköy Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/kocmer-emlak-52307","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Koçmer Emlak","Mehmet
          Koç"
"https://www.hepsiemlak.com/istanbul-kagithane-gursel-kiralik/residence/157992-85","8","35.000","03-03-2026","Kiralık Residence","1 +
                          1","50 m²","11
                        Yaşında","5. Kat","Turyap'tan Gürsel Mahallesi Acasuıt'de Kiralık 1+1 Daire","İstanbul / Kağıthane / Gürsel Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/daire/131242-1122","8","30.000","03-03-2026","Kiralık Daire","2 +
                          1","80 m²","25
                        Yaşında","1. Kat","Ulaşımı Kolay Konumda Temiz Ve Kullanışlı 2+1 Kiralık Daire","İstanbul / Şişli / Esentepe Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/daire/33311-1181","11","30.000","05-03-2026","Kiralık Daire","1 +
                          1","50 m²","6
                        Yaşında","Bahçe Katı","Nışantaşına Yakın Genç Binada Bahçeli Aydınlık Daire","İstanbul / Şişli / Meşrutiyet Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/citypoint-gayrimenkul-33311","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Cıtypoınt Gayrimenkul","Yasemin Yıldırım
          City Point Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/4160-1788","11","40.000","03-03-2026","Kiralık Daire","2 +
                          1","90 m²","35
                        Yaşında","Ara Kat","Hedef'ten Kazancı Yokuşunda Ferah Daire","İstanbul / Beyoğlu / Cihangir Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-nisantepe-kiralik/daire/37996-5945","34","83.000","18-02-2026","Kiralık Daire","3 +
                          1","200 m²","11
                        Yaşında","14. Kat","Alemdağ Emlak Konutları Kiralık Penthause 3+1 Daire","İstanbul / Çekmeköy / Nişantepe Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/citylife-gayrimenkul-37996","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Cıtylife Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/daire/2608-5085","34","105.000","17-02-2026","Kiralık Daire","5 +
                          1","320 m²","24
                        Yaşında","4. Kat","Sarıyer Boğaziçi Park Evleri  5+1 320m2 Çatı Dublex Koç Ünv Komşu","İstanbul / Sarıyer / Zekeriyaköy Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608/volkan-omer-erendor-3902034","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Coldwell Banker Power Gayrimenkul","Volkan Ömer
          Erendor"
"https://www.hepsiemlak.com/istanbul-bahcelievler-zafer-kiralik/daire/27029-216","34","47.500","07-03-2026","Kiralık Daire","3 +
                          1","125 m²","1
                        Yaşında","4. Kat","Bahçelievler Zafer'de 125m² 3+1, Otoparklı, Yeni Daire","İstanbul / Bahçelievler / Zafer Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-kayabasi-kiralik/daire/167072-7","33","76.000","03-03-2026","Kiralık Daire","3 +
                          1","144 m²","Sıfır Bina","1. Kat","Fuzul Avrasya 2 Güney Cephe 3+1 Kiralık Daire","İstanbul / Başakşehir / Kayabaşı Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","","","","",""
"https://www.hepsiemlak.com/istanbul-umraniye-esensehir-kiralik/daire/166310-7","16","20.000","03-03-2026","Kiralık Daire","2 +
                          1","90 m²","26
                        Yaşında","Giriş Katı","Kiralık Giriş Daire 2+1","İstanbul / Ümraniye / Esenşehir Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","","","","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/5459-5374","37","80.000","03-03-2026","Kiralık Daire","3 +
                          1","180 m²","Sıfır Bina","5. Kat","Bahçelievler Mah.Koza İlköğretim Yakını Yeni Binada Dubleks 3+1","İstanbul / Bahçelievler / Bahçelievler Mah.","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/5/4/5/0/0/8ec21356-6127-436b-84af-d204f176bd5a.jpg","https://www.hepsiemlak.com/emlak-ofisi/gumus-emlak-5459","","Gümüş Emlak",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-merkez-kiralik/daire/150746-193","47","25.000","08-03-2026","Kiralık Daire","3 +
                          1","135 m²","16
                        Yaşında","Ara Kat","Çekmeköy Mımar Sınan Mahallesı’nde 3 + 1 En Üst Kat Çavuşbaşına Paralel Fırsat Kiralık Daire","İstanbul / Çekmeköy / Merkez Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/nazimogullari-insaat-gayrimenkul-150746","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Nazımoğulları İnşaat Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-bayrampasa-terazidere-kiralik/daire/148452-14","20","40.000","03-03-2026","Kiralık Daire","2 +
                          1","85 m²","6
                        Yaşında","Bodrum","Terazidere Mah Ayvalıdere 2 Sok Ta Kiralarık Eşyalı Daire 2+1","İstanbul / Bayrampaşa / Terazidere Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/sedat-durak-gayrimenkul-148452","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Sedat Durak Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-sultanbeyli-mimar-sinan-kiralik/daire/156118-56","24","25.000","03-03-2026","Kiralık Daire","2 +
                          10","85 m²","8
                        Yaşında","3. Kat","Sultanbeyli Mimarsinan Mah Kiralık 2+1arakat","İstanbul / Sultanbeyli / Mimar Sinan Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-fevzi-cakmak-kiralik/daire/104482-22","28","16.000","02-03-2026","Kiralık Daire","2 +
                          1","40 m²","25
                        Yaşında","Bahçe Katı","Kiralık 1+1 Bahçekatı Eşyalı Bekara Uygun","İstanbul / Küçükçekmece / Fevzi Çakmak Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-orhan-gazi-kiralik/daire/163301-79","28","35.000","02-03-2026","Kiralık Daire","2 +
                          1","120 m²","4
                        Yaşında","12. Kat","Semt Bahçekent Kiralık 2+1 Daire","İstanbul / Esenyurt / Orhan Gazi Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/turyap-kayasehir-yasam-temsilciligi-163301","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Turyap Kayaşehir Yaşam Temsilciliği",""
"https://www.hepsiemlak.com/istanbul-basaksehir-kayabasi-kiralik/daire/166866-24","29","50.000","02-03-2026","Kiralık Daire","2 +
                          1","117 m²","6
                        Yaşında","2. Kat","Emlak Konut Başakşehir Evleri Kiralık Eşyalı 2+1","İstanbul / Başakşehir / Kayabaşı Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-tuzla-aydinli-kiralik/daire/125247-249","36","27.000","06-03-2026","Kiralık Daire","2 +
                          1","90 m²","3
                        Yaşında","8. Kat","Lüx 2+1 Merkezi Konumda","İstanbul / Tuzla / Aydınlı Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-yenibosna-merkez-kiralik/daire/150641-17","40","30.000","08-03-2026","Kiralık Daire","2 +
                          1","90 m²","31
                        Yaşında","2. Kat","Radarlar Bölgesinde Kiralık 2+1 Daire","İstanbul / Bahçelievler / Yenibosna Merkez Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kartal-hurriyet-kiralik/daire/62576-13","22","30.000","02-03-2026","Kiralık Daire","2 +
                          1","90 m²","30
                        Yaşında","4. Kat","Kiralık Daire 2+1 Cumhuriyet Mahallesi","İstanbul / Kartal / Hürriyet Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-maltepe-findikli-kiralik/daire/66056-10816","35","30.000","02-03-2026","Kiralık Daire","1 +
                          1","60 m²","5
                        Yaşında","1. Kat","Kaçmaz'dan Fındıklı'da Kullanışlı Metrekareli Katta Balkonlu 1+1","İstanbul / Maltepe / Fındıklı Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/kacmaz-emlak-altintepe-66056/kacmaz-emlak-altintepe-1263467","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kaçmaz Emlak Altıntepe","Kaçmaz
          Emlak  Altıntepe"
"https://www.hepsiemlak.com/istanbul-bagcilar-merkez-kiralik/daire/151638-201","17","22.000","02-03-2026","Kiralık Daire","2 +
                          1","95 m²","31
                        Yaşında","4. Kat","Granit Gayrimenkul'den 2+1 4.Kat 90 M2 Kiralık Daire","İstanbul / Bağcılar / Merkez Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-pendik-fevzi-cakmak-kiralik/daire/163703-40","17","31.000","02-03-2026","Kiralık Daire","4 +
                          1","140 m²","21
                        Yaşında","4. Kat","Çamçeşme Mh Karakola Yakın Kiralık Geniş Daire 4+1","İstanbul / Pendik / Fevzi Çakmak Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/162570-150","28","33.000","05-03-2026","Kiralık Daire","3 +
                          1","125 m²","21
                        Yaşında","2. Kat","Avm Ve Okullara Yürüme Mesafesinde, Ferah 3+1 Aile Dairesi","İstanbul / Pendik / Yenişehir Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/nexsa-gayrimenkul-yatirim-hizmetleri-162570","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Nexsa Gayrimenkul Yatırım Hizmetleri",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-kanarya-kiralik/daire/130678-347","33","28.000","05-03-2026","Kiralık Daire","2 +
                          1","65 m²","7
                        Yaşında","Yüksek Giriş","Axu’dan Kanarya Mh. 2+1 60m2 Yeni Bina Lüx Yüksek Giriş","İstanbul / Küçükçekmece / Kanarya Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-yavuzturk-kiralik/daire/131612-2298","60","30.000","05-03-2026","Kiralık Daire","3 +
                          1","120 m²","31
                        Yaşında","3. Kat","Üsküdar Yavuztürk Mahallesi 3+1 Kiralık Daire","İstanbul / Üsküdar / Yavuztürk Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/deniz-emlak-131612","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Deniz Emlak",""
"https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-7-8-9-10-kisim-kiralik/daire/145309-869","33","80.000","28-02-2026","Kiralık Daire","3 +
                          1","140 m²","31
                        Yaşında","8. Kat","Ataköy'ün Kalbinde Full Eşyalı 3,5+1-125m2 Kiralık Daire","İstanbul / Bakırköy / Ataköy 7-8-9-10. Kısım Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/park-yapi-gayrimenkul-145309","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Park Yapı Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-kiralik/daire/0-46204314","59","50.000","28-02-2026","Kiralık Daire","1 +
                          1","70 m²","7
                        Yaşında","Bahçe Katı","Sahibinden İdealtepe De Full Sıfır Esyalı Geniş 1+1","İstanbul / Maltepe / İdealtepe Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-zuhtupasa-kiralik/daire/0-46201229","20","90.000","07-03-2026","Kiralık Daire","2 +
                          1","125 m²","10
                        Yaşında","8. Kat","Sahibinden Kiralik Anadolu Yakasinin En Merkezi Noktasinda!!!","İstanbul / Kadıköy / Zühtüpaşa Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-maltepe-esenkent-kiralik/daire/166888-10","37","30.000","07-03-2026","Kiralık Daire","2 +
                          1","88 m²","28
                        Yaşında","En Üst Kat","Arslan Gayrimenkul&inşaat Metroya 10 Dk.Yürüme Mesafesinde Arakat (2+1) Sıfır Daire","İstanbul / Maltepe / Esenkent Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-sutluce-kiralik/daire/0-46199335","17","29.000","27-02-2026","Kiralık Daire","2 +
                          1","80 m²","27
                        Yaşında","5. Kat","Beyoğlu Sütlüce'de Metrobüse Yakın 2+1 Sahibinden Kiralık Daire","İstanbul / Beyoğlu / Sütlüce Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/111213-918","35","65.000","27-02-2026","Kiralık Daire","3 +
                          1","140 m²","26
                        Yaşında","4. Kat","Bahçelievler Kiralık 3+1 Daire","İstanbul / Bahçelievler / Bahçelievler Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/arev-gayrimenkul-danismanlik-111213","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Arev Gayrimenkul Danışmanlık","Arzu
          Aksu Göç"
"https://www.hepsiemlak.com/istanbul-bakirkoy-yesilyurt-kiralik/daire/165018-35","24","95.000","05-03-2026","Kiralık Daire","2 +
                          1","135 m²","16
                        Yaşında","4. Kat","Noventa'dan Yeşilyurt'ta Kiralık Dubleks Daire!!!","İstanbul / Bakırköy / Yeşilyurt Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/0/5/6/1/43a1431f-dfce-4ab0-849b-22c2be828518.jpg","https://www.hepsiemlak.com/emlak-ofisi/noventa-gayrimenkul-165018","","Noventa Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/165545-134","24","170.000","27-02-2026","Kiralık Residence","2 +
                          1","150 m²","4
                        Yaşında","5. Kat","Neo'dan Nişantaşı The Ritz Carlton Residence'da 2+1 Kiralık","İstanbul / Şişli / Teşvikiye Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-neo-165545","","Coldwell Banker Neo",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-aksemsettin-kiralik/daire/166944-3","27","25.000","27-02-2026","Kiralık Daire","2 +
                          1","90 m²","26
                        Yaşında","5. Kat","Sitede, Metroya Ve Otobüs Durağına Yakın Temiz 2+1 Bakımlı Daire","İstanbul / Eyüpsultan / Akşemsettin Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","","","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/daire/0-46195566","20","55.000","27-02-2026","Kiralık Daire","3 +
                          1","125 m²","30
                        Yaşında","2. Kat","Sahibinden 3+1 Eşyalı Yenilenmiş Daire","İstanbul / Kağıthane / Ortabayır Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
