"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-beyoglu-kalyoncu-kullugu-kiralik/daire/0-45841725","16","17.000","30-12-2025","Kiralık Daire","1 +
                          1","65 m²","30
                        Yaşında","3. Kat","Sahibinden Kiralık Tarlabaşında 1+1 Daire","İstanbul / Beyoğlu / Kalyoncu Kulluğu Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-fatih-koca-mustafapasa-kiralik/daire/0-45833883","15","22.500","25-02-2026","Kiralık Daire","1 +
                          1","55 m²","45
                        Yaşında","2. Kat","Koca Mustafa Paşa Kiralık Eşyalı Daire","İstanbul / Fatih / Koca Mustafapaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-unalan-kiralik/daire/0-45741727","19","30.000","11-12-2025","Kiralık Daire","3 +
                          1","120 m²","31
                        Yaşında","En Üst Kat","Kiralık 3+1 Daire","İstanbul / Üsküdar / Ünalan Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-yeni-mahalle-kiralik/daire/0-45717533","19","62.500","03-03-2026","Kiralık Daire","3 +
                          1","160 m²","7
                        Yaşında","3. Kat","Teraslı 3+1 Dublex Daıre","İstanbul / Küçükçekmece / Yeni Mahalle Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-sururi-mehmet-efendi-kiralik/daire/0-45695129","15","18.000","18-01-2026","Kiralık Daire","1 +
                          1","50 m²","35
                        Yaşında","3. Kat","Merkezi Lokasyonda Eşyalı Stüdyo Daire 18 Bin","İstanbul / Beyoğlu / Sururi Mehmet Efendi Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-beykoz-tokatkoy-kiralik/daire/136553-159","24","48.000","29-01-2026","Kiralık Daire","3 +
                          1","125 m²","Sıfır Bina","3. Kat","Luxury Acarkent'ten Beykoz Toki'de Kiralık 3+1 Daire","İstanbul / Beykoz / Tokatköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/luxury-acarkent-real-estate-136553","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Luxury Acarkent Real Estate","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-arnavutkoy-tasoluk-kiralik/daire/0-45624404","15","28.000","06-01-2026","Kiralık Daire","4 +
                          1","130 m²","12
                        Yaşında","2. Kat","Arnavutköy Taşolukta 3+1 Daire Eşyalı Veya Aşyasız Kiraya Verilir Açıklamayı Okuyunuz.","İstanbul / Arnavutköy / Taşoluk Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-silivri-semizkumlar-kiralik/villa/162812-15","30","650.000","17-02-2026","Kiralık Villa","4 +
                          1","180 m²","26
                        Yaşında","Bahçe Katı","Uyumkent Sitesi Deta Emlaktan A B C D Tipi","İstanbul / Silivri / Semizkumlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/uyumkent-deta-emlak-162812","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Uyumkent Deta Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-beykoz-incirkoy-kiralik/daire/146059-11","26","35.000","02-03-2026","Kiralık Daire","2 +
                          1","110 m²","30
                        Yaşında","3. Kat","Kiralık 2+1 Daire","İstanbul / Beykoz / İncirköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/aziz-emlak-yatirim-insaat-otomotiv-146059","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Aziz Emlak Yatırım İnşaat Otomotiv","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Muharrem
          Sandıkçıoğlu"
"https://www.hepsiemlak.com/istanbul-adalar-heybeliada-kiralik/daire/0-44348850","17","55.000","24-02-2026","Kiralık Daire","3 +
                          1","170 m²","40
                        Yaşında","Kot 2","Heybeliada Şahane Manzaralı Geniş Kiralık Daire Sahibinden Kiralık","İstanbul / Adalar / Heybeliada Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sile-imrenli-kiralik/villa/0-44019434","17","45.000","05-01-2026","Kiralık Villa","3 +
                          1","160 m²","25
                        Yaşında","","Şile’de Doğalgaz Kombili Kiralık Villa","İstanbul / Şile / İmrenli Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-buyukcekmece-murat-cesme-kiralik/daire/0-39223482","15","25.000","30-12-2025","Kiralık Daire","2 +
                          1","92 m²","3
                        Yaşında","2. Kat","2+1  Kombili 74 M2  Muratcesme Mah. Mimoza Konutlari","İstanbul / Büyükçekmece / Murat Çeşme Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-seyrantepe-kiralik/daire/6580-445","16","32.500","26-02-2026","Kiralık Daire","Stüdyo","39 m²","5
                        Yaşında","2. Kat","Kordon İstanbul Kiralık Stüdyo Daire/avangart/seba/vadi İstanbul","İstanbul / Kağıthane / Seyrantepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/cinar-emlak-6580","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Çınar Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Serkan
          Derebaşı"
"https://www.hepsiemlak.com/istanbul-esenyurt-suleymaniye-kiralik/daire/132217-744","5","18.500","11-12-2025","Kiralık Daire","2 +
                          1","120 m²","6
                        Yaşında","1. Kat","Süleymaniye Mah 2+1 110m2 Geniş Kiralık Daire","İstanbul / Esenyurt / Süleymaniye Mah.","https://www.hepsiemlak.com/emlak-ofisi/akva-gayrimenkul-2-132217","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Akva Gayrimenkul 2","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-sile-cavus-kiralik/daire/8710-638","16","31.500","02-02-2026","Kiralık Daire","2 +
                          1","90 m²","21
                        Yaşında","Giriş Katı","İkinci Bahar'dan Çarşıda Uygun Kiralık Bahçeli Daire!","İstanbul / Şile / Çavuş Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-sultanbeyli-turgut-reis-kiralik/daire/49812-540","16","29.000","20-01-2026","Kiralık Daire","2 +
                          1","105 m²","1
                        Yaşında","3. Kat","Orman Manzaralı Kiralık 2+1 Daire","İstanbul / Sultanbeyli / Turgut Reis Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-abdurrahmangazi-kiralik/daire/98859-420","23","35.000","20-02-2026","Kiralık Daire","1 +
                          1","78 m²","6
                        Yaşında","10. Kat","| Kiralık | Sinpaş | Egeboyu | 1 + 1 |","İstanbul / Sancaktepe / Abdurrahmangazi Mah.","https://www.hepsiemlak.com/emlak-ofisi/mulk-gayrimenkul-yatirim-98859","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/5/8/8/9/0/7594181f-403f-4c0a-b636-93c1ead7c871.jpg","Mülk Gayrimenkul Yatırım","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-kiralik/daire/128017-49","23","30.500","17-02-2026","Kiralık Daire","1 +
                          1","75 m²","21
                        Yaşında","8. Kat","Meydan Emlaktan Atakent Mah 3 Etap Eşyalı Kiralık Daire","İstanbul / Küçükçekmece / Atakent Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/55671-770","23","65.000","17-01-2026","Kiralık Daire","2 +
                          1","110 m²","50
                        Yaşında","4. Kat","Paksoy'dan Cihangir'de Eşyalı Veya Eşyasız Geniş 2+1 Kombili Kiralık 110 M2 Daire","İstanbul / Beyoğlu / Gümüşsuyu Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-fatih-yedikule-kiralik/daire/69050-2797","12","15.000","04-02-2026","Kiralık Daire","1 +
                          1","55 m²","50
                        Yaşında","Yüksek Giriş","Es Gayrimenkul Yedikule De Kiralık Daire","İstanbul / Fatih / Yedikule Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-gaziosmanpasa-baglarbasi-kiralik/daire/49068-2121","14","36.000","11-02-2026","Kiralık Daire","2 +
                          1","115 m²","Sıfır Bina","5. Kat","Altın Emlak- Toki 7a Vialand Manzaralı 2+1 Büyük Tip Daire","İstanbul / Gaziosmanpaşa / Bağlarbaşı Mah.","https://www.hepsiemlak.com/emlak-ofisi/altin-emlak-gaziosmanpasa-temsilciligi-49068","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Altın Emlak Gaziosmanpaşa Temsilciliği","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-fatih-cerrahpasa-kiralik/daire/56628-1441","14","27.000","13-01-2026","Kiralık Daire","2 +
                          1","85 m²","40
                        Yaşında","Yüksek Giriş","Cerrrahpaşa Mahallesinde Yüksek Giriş 75m2 2+1 Kiralık Daire","İstanbul / Fatih / Cerrahpaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-kiralik/daire/57111-857","14","50.000","03-02-2026","Kiralık Daire","2 +
                          1","90 m²","31
                        Yaşında","4. Kat","Bostanbaşı’nda Taşınmaya Hazır Kiralık Daire","İstanbul / Beyoğlu / Firuzağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/istanbul-stay-and-services-57111","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Istanbul Stay And Servıces","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-sinanpasa-kiralik/daire/93041-859","14","40.000","15-02-2026","Kiralık Daire","2 +
                          1","85 m²","31
                        Yaşında","1. Kat","Novam'da Kahvaltıcılar Sokağında 2+1 80m2 Kiralık Daire","İstanbul / Beşiktaş / Sinanpaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/daire/6231-16050","20","50.000","21-02-2026","Kiralık Daire","1 +
                          1","79 m²","31
                        Yaşında","Bahçe Katı","Teşvikiye Hacı Emin Efendi Sokak'ta Kiralık 1+1 Bahçe Katı Daire","İstanbul / Şişli / Teşvikiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/space-istanbul-gayrimenkul-6231/elif-kolankaya-1733671","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Space İstanbul Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Elif
          Kolankaya"
"https://www.hepsiemlak.com/istanbul-besiktas-konaklar-kiralik/daire/2257-3920","10","84.000","27-02-2026","Kiralık Daire","2 +
                          1","80 m²","45
                        Yaşında","1. Kat","Mimar Dokunuşlu Özel Taşarim 2+1 Eşyali Metroya Çok Yakin","İstanbul / Beşiktaş / Konaklar Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karayollari-kiralik/residence/69537-102431","12","50.000","19-02-2026","Kiralık Residence","1 +
                          1","78 m²","12
                        Yaşında","8. Kat","Avrupa Tem 1de Premium 1+1, Balkonlu, Fırsat Boş Daire","İstanbul / Gaziosmanpaşa / Karayolları Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/14121-5662","26","35.000","01-02-2026","Kiralık Daire","1 +
                          1","65 m²","Sıfır Bina","3. Kat","İnönü Mh.'de 19 Mayıs Cd. Üzeri Teraslı, Yeni Eşyalı Sıfır 1+1 Daire","İstanbul / Ataşehir / İnönü Mah.","https://www.hepsiemlak.com/emlak-ofisi/esinti-gayrimenkul-14121","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Esinti Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-kiralik/daire/9149-1727","","80.500","06-01-2026","Kiralık Daire","2 +
                          1","100 m²","3
                        Yaşında","4. Kat","Suadiye Birlik Rezidans 2+1 82 Net 4. Kat Balkonlu","İstanbul / Kadıköy / Suadiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/gunessu-emlak-9149/mustafa-sahin-9149","","Güneşsu Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mustafa
          Şahin"
"https://www.hepsiemlak.com/istanbul-pendik-suluntepe-kiralik/daire/0-45794140","14","15.999","21-02-2026","Kiralık Daire","3 +
                          1","150 m²","25
                        Yaşında","2. Kat","Ev Arkadaşı Aranıyor","İstanbul / Pendik / Sülüntepe Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-silivri-yeni-kiralik/daire/97262-1231","18","29.000","29-01-2026","Kiralık Daire","2 +
                          1","90 m²","6
                        Yaşında","En Üst Kat","Silivri Y.Mahalle'de Asansörlü, 2+1 , 80 M2 Daire , 29.000 Tl.","İstanbul / Silivri / Yeni Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/daire/120873-202","18","27.500","03-03-2026","Kiralık Daire","1 +
                          1","60 m²","16
                        Yaşında","5. Kat","Fulya'da Eşyalı Cevahire Yakın 1+1 Aydınlık Temiz...","İstanbul / Şişli / Fulya Mah.","https://www.hepsiemlak.com/emlak-ofisi/dmrc-insaat-ve-emlak-ofisi-120873/metin-demirci-2764273","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Dmrc İnşaat Ve Emlak Ofisi","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Metin
          Demirci"
"https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/daire/121012-578","18","120.000","06-03-2026","Kiralık Daire","1 +
                          1","76 m²","3
                        Yaşında","2. Kat","Fdn'den Four Seasonsa Komşu Kiralık Bogaz Man 1+1 Eşyalı/eşyasız","İstanbul / Beşiktaş / Yıldız Mah.","https://www.hepsiemlak.com/emlak-ofisi/fdn-gayrimenkul-real-estate-121012","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Fdn Gayrimenkul Real Estate","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-adalar-nizam-kiralik/daire/4387-1484","18","45.000","27-12-2025","Kiralık Daire","1 +
                          1","150 m²","80
                        Yaşında","Bahçe Katı","Büyükadada Gökhandan  Kahve Dünyasına 2 Dk.Mesafede  Eşyalı  1+1 Yıllık    Bahçe Katı","İstanbul / Adalar / Nizam Mah.","https://www.hepsiemlak.com/emlak-ofisi/gokhan-emlak-4387","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Gökhan Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-esenler-orucreis-kiralik/daire/164742-492","11","11.000","18-02-2026","Kiralık Daire","1 +
                          1","70 m²","26
                        Yaşında","Giriş Katı","Efor Çok'tan Oruçreis'te 1+1 Kiralık Daire","İstanbul / Esenler / Oruçreis Mah.","https://www.hepsiemlak.com/emlak-ofisi/efor-cok-gayrimenkul-164742","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Efor Çok Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-emek-kiralik/daire/163983-394","30","30.000","07-03-2026","Kiralık Daire","3 +
                          1","135 m²","21
                        Yaşında","3. Kat","Emek Mahallesi Merkezde 3+1 Geniş Kiralık Daire Nil Şahin","İstanbul / Sancaktepe / Emek Mah.","https://www.hepsiemlak.com/emlak-ofisi/realty-pex-prime-gayrimenkul-163983/pex-prime-4578338","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Realty Pex Prime Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Pex
          Prime"
"https://www.hepsiemlak.com/istanbul-pendik-yayalar-kiralik/daire/161261-271","29","31.000","06-02-2026","Kiralık Daire","2 +
                          1","105 m²","6
                        Yaşında","1. Kat","Yaşam'dan Yayalar Da Site İçerisinde 2+1 Ara Kat Kiralık Daire","İstanbul / Pendik / Yayalar Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-bahcelievler-kiralik/daire/139012-794","53","62.000","30-12-2025","Kiralık Daire","4 +
                          1","150 m²","9
                        Yaşında","3. Kat","Çengelköy 'de 4+1 Kiralık Dubleks Daire","İstanbul / Üsküdar / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-ani-139012","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Anı","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Benan
          Cevher"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/139407-800","21","64.900","03-03-2026","Kiralık Daire","1 +
                          1","80 m²","5
                        Yaşında","2. Kat","As Maslak Residence 1+1 Full Eşyalı Kiralık Daire -New Inn (124)","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/new-inn-serviced-apartments-139407/new-inn-serviced-apartments-3886378","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/7/3/6/8/8/3/d6bd2ff3-ee72-4476-a426-7aaf49ae68e0.jpg","New Inn Servıced Apartments","","New Inn Servıced
          Apartments"
"https://www.hepsiemlak.com/istanbul-sariyer-ayazaga-kiralik/daire/165104-16","24","95.000","25-12-2025","Kiralık Daire","2 +
                          1","115 m²","5
                        Yaşında","6. Kat","Vadistanbul Vadikoru Da 2+1 Orman Manzaralı Kiralık Daire","İstanbul / Sarıyer / Ayazağa Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-sile-kumbaba-kiralik/villa/148566-519","35","140.000","22-02-2026","Kiralık Villa","3 +
                          1","300 m²","3
                        Yaşında","Bahçe Katı","Remax Anka'dan Kiralık Kumbaba'da Tertemiz Müstakil Villa","İstanbul / Şile / Kumbaba Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-anka-gayrimenkul-148566","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/6/5/8/4/1/8a53c0e9-6739-4013-87a9-c5c23a52e330.jpg","Remax Anka Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-tuzla-aydinli-kiralik/villa/164080-24","16","180.000","19-02-2026","Kiralık Villa","5 +
                          2","350 m²","2
                        Yaşında","Bahçe Katı","Evsell_tuzla Çamlıbelde Site 5+2 350 M2 Teraslı Havuzlu Villa","İstanbul / Tuzla / Aydınlı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
