"img-link href","photo-count","list-view-price","list-view-date","list-view-title","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","img-wrp href 2","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-icon href","text-ellipsis","he-lazy-image src 3","list-view-header"
"https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/daire/65405-734","45","95.000","21-02-2026","","Kiralık Daire","4 +
                          1","170 m²","50
                        Yaşında","1. Kat","İstanbul / Beşiktaş / Gayrettepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/guray-emlak-65405","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Güray Emlak","","","","","Güray'dan Yıldız Posta Caddesinde Bakımlı, Tadilatlı, Otoparklı 4+1 Daire"
"https://www.hepsiemlak.com/istanbul-buyukcekmece-turkoba-kiralik/daire/165579-7","11","22.000","08-03-2026","","Kiralık Daire","2 +
                          1","80 m²","16
                        Yaşında","1. Kat","İstanbul / Büyükçekmece / Türkoba Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","","[object Object]","Hepsiemlak’ta Yeni Üye","","Hedef Konut'tan Kiptaşta Kiralık Temiz Daire"
"https://www.hepsiemlak.com/istanbul-buyukcekmece-turkoba-kiralik/daire/165579-2","9","23.000","08-03-2026","","Kiralık Daire","2 +
                          1","80 m²","16
                        Yaşında","5. Kat","İstanbul / Büyükçekmece / Türkoba Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","","[object Object]","Hepsiemlak’ta Yeni Üye","","Hedef Konut'tan Kiptaşta Kiralık 80 M2 Daire"
"https://www.hepsiemlak.com/istanbul-beyoglu-kamer-hatun-kiralik/daire/49933-3145","23","38.000","08-03-2026","","Kiralık Daire","3 +
                          1","112 m²","50
                        Yaşında","3. Kat","İstanbul / Beyoğlu / Kamer Hatun Mah.","https://www.hepsiemlak.com/emlak-ofisi/berk-emlak-49933","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Berk Emlak","Mürvet
          Mandak","","","","Berk Emlaktan Beyoğlu Ömer Hayyamda Daire Badana Boyasi Yapılmış Tarihi Binada Cumbali Daire."
"https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/daire/4224-7753","24","55.000","08-03-2026","","Kiralık Daire","2 +
                          1","80 m²","12
                        Yaşında","Yüksek Giriş","İstanbul / Şişli / Cumhuriyet Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","","","","","Şişli Bomonti Adaya 2 Metroya 7 Otobüs Dur.3 Metrobüse 15 Dak. Mesafede Yeni Binada Full Eşyalı"
"https://www.hepsiemlak.com/istanbul-kadikoy-kozyatagi-kiralik/daire/62469-511","22","38.000","08-03-2026","","Kiralık Daire","2 +
                          1","90 m²","35
                        Yaşında","3. Kat","İstanbul / Kadıköy / Kozyatağı Mah.","https://www.hepsiemlak.com/emlak-ofisi/isik-emlak-62469/hakan-isikli-1129947","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Işık Emlak","Hakan
          Işıklı","","","","Kozyatağında 2+1 Kombili 3. Kat"
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/35090-722","23","29.000","08-03-2026","","Kiralık Daire","1 +
                          1","90 m²","28
                        Yaşında","Kot 1","İstanbul / Beşiktaş / Dikilitaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/firat-emlak-35090","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Fırat Emlak","Fırat
          Emlak","","","","Beşiktaş Dikilitaş Merkezde Özel Otoparklı Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/155960-5","26","29.000","08-03-2026","","Kiralık Daire","1 +
                          1","55 m²","3
                        Yaşında","6. Kat","İstanbul / Şişli / Gülbahar Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","","[object Object]","Hepsiemlak’ta Yeni Üye","","Rezidans Depozitosuz_faturalar Dahil Lüx Eşyalı 1+1 Güvenlikli"
"https://www.hepsiemlak.com/istanbul-sariyer-ayazaga-kiralik/daire/66846-1681","47","50.000","04-03-2026","","Kiralık Daire","3 +
                          1","160 m²","20
                        Yaşında","Teras Katı","İstanbul / Sarıyer / Ayazağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/mega-city-gayrimenkul-66846/emre-karaduman-1276885","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mega City Gayrimenkul","Emre
          Karaduman","","","","Orman Manzaralı Banyo Mutfağı Yenilenmiş Şömineli Asansörlü Çift Teraslı Daire"
"https://www.hepsiemlak.com/istanbul-besiktas-abbasaga-kiralik/daire/150653-110","34","17.500","07-03-2026","","Kiralık Daire","1 +
                          1","60 m²","30
                        Yaşında","5. Kat","İstanbul / Beşiktaş / Abbasağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/istanbul-emlak-satis-ofisi-150653/ekrem-cimen-4259219","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/istanbul-emlak-satis-ofisi-150653","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İstanbul Emlak Satış Ofisi","Ekrem
          Çimen","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İstanbul Beşiktaş Yıldız Metro’ya Yürüme Mesafesinde 1+1 Çatı Katı |"
"https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/156874-5","37","42.500","06-03-2026","Emlak Park'tan Helenium Wings'de Full Eşyalı 2+1","Kiralık Daire","2 +
                          1","90 m²","8
                        Yaşında","1. Kat","İstanbul / Pendik / Yenişehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/emlak-park-real-estate-156874","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/3/1/2/2/2/6/4/1772624316-661275-46222138.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/8/6/5/1/796d6495-7951-454b-8009-fb9837ec6ef4.jpg","Emlak Park Real Estate","","[object Object]","Hepsiemlak’ta Yeni Üye","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-yenibosna-merkez-kiralik/residence/161700-132","6","35.000","06-03-2026","Çamur'dan Prime İstanbul Projesinde 1+0 Full Eşyalı Daire","Kiralık Residence","Stüdyo","74 m²","4
                        Yaşında","8. Kat","İstanbul / Bahçelievler / Yenibosna Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/camur-gayrimenkul-161700/camur-gayrimenkul-4520882","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/2/1/8/8/1/6/4/ab51082a-da19-4a16-b050-6340e13ce107.jpg","https://www.hepsiemlak.com/emlak-ofisi/camur-gayrimenkul-161700","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/8/8/0/2/5/4/5a325d4b-d91b-4663-b5e0-9c413790300b.jpg","Çamur Gayrimenkul","Çamur
          Gayrimenkul","[object Object]","Hepsiemlak’ta Yeni Üye","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/7/1/6/1/32475b18-22ea-405a-8275-7dd43b8016b3.jpg",""
"https://www.hepsiemlak.com/istanbul-beyoglu-omer-avni-kiralik/daire/2608-6813","39","45.000","09-02-2026","Fırsat Konut + İş Yeri Setüstü 2+1 Kiralık Arakat Daire","Kiralık Daire","2 +
                          1","85 m²","50
                        Yaşında","Ara Kat","İstanbul / Beyoğlu / Ömer Avni Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608/sevgi-hancer-2608","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/5/0/9/4/2/7/5/4/85ef410d-e0ff-42e8-8a77-05abaec1cfb5.jpg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/0/6/2/0/0/099a0e77-bd82-4caf-9c85-8278ac6a5dac.jpg","Coldwell Banker Power Gayrimenkul","Sevgi
          Hançer","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/6/2/0/0/86693a32-8d30-4fcd-975c-a43960872292.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/bina/2608-6592","36","125.000","05-02-2026","Fırsat Beşiktaş Yıldız 4+1 Müstakil Tarihi Bina","Kiralık Bina","4 +
                          1","240 m²","30
                        Yaşında","","İstanbul / Beşiktaş / Yıldız Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608/sevgi-hancer-2608","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/0/4/4/3/7/4/4/5d645686-7f14-436e-8083-4f84b38aca7b.jpg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/0/6/2/0/0/099a0e77-bd82-4caf-9c85-8278ac6a5dac.jpg","Coldwell Banker Power Gayrimenkul","Sevgi
          Hançer","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/6/2/0/0/86693a32-8d30-4fcd-975c-a43960872292.jpg",""
"https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-kiralik/daire/28683-818","18","110.000","04-03-2026","3949 - İstanbul Kadıköy  Erenköy Mahallesi Kiralık Daire","Kiralık Daire","2 +
                          1","112 m²","11
                        Yaşında","Ara Kat","İstanbul / Kadıköy / Erenköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/darussafaka-cemiyeti-28683/darussafaka-cemiyeti-28683","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/2/5/5/9/1/6/4/143a7f76-ec5a-4529-90e2-da12905df75d.jpg","https://www.hepsiemlak.com/emlak-ofisi/darussafaka-cemiyeti-28683","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/8/6/8/2/0/d1ab835a-225a-4226-ae9e-e3a5f7a456ee.jpg","Darüşşafaka Cemiyeti","Darüşşafaka
          Cemiyeti","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/8/6/8/2/0/e854d4fd-79b5-4644-9b72-3d79fdcc5bfc.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/daire/1218-452","44","250.000","04-03-2026","Prive Gayrimenkul ‘den Hüsrev Gerede Caddesi’inde 5+2 Çift Teraslı Dubleks","Kiralık Daire","5 +
                          2","300 m²","32
                        Yaşında","8. Kat","İstanbul / Şişli / Teşvikiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/prive-gayrimenkul-ve-yatirim-danismanligi-1218","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/4/7/0/2/2/6/4/1772616115-006256-46220746.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/2/1/0/0/55ea7d3d-c221-4edc-be04-342e580c7ee9.jpg","Prive Gayrimenkul Ve Yatırım Danışmanlığı","","","","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-safa-kiralik/daire/165589-10","50","28.500","02-03-2026","Sancaktepe Enn Garden Etap 1 De Kiralık 2+1 Arakat Daire","Kiralık Daire","2 +
                          1","87 m²","Sıfır Bina","4. Kat","İstanbul / Sancaktepe / Safa Mah.","https://www.hepsiemlak.com/emlak-ofisi/emlak-gyd-165589","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/1/8/0/1/2/6/4/fa8771d8-31bb-4831-aecc-ada4990ab9bc.jpg","","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Emlak Gyd","","[object Object]","Hepsiemlak’ta Yeni Üye","",""
"https://www.hepsiemlak.com/istanbul-uskudar-cengelkoy-kiralik/daire/5632-9464","30","72.000","24-02-2026","Çengelköyde Enfes Boğaz Manzaralı Kiralık 2+1 Daire","Kiralık Daire","2 +
                          1","90 m²","40
                        Yaşında","2. Kat","İstanbul / Üsküdar / Çengelköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-trio-5632/ela-tomris-ilkgelen-4412244","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/4/9/0/8/1/6/4/c369b409-6429-4117-aa0c-2ee993345b74.jpg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-trio-5632","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/4/2/2/1/4/4/fc9557e8-9c2f-4f89-8d72-e38425acffba.jpg","Coldwell Banker Trio","Ela Tomris
          İlkgelen","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/6/5/0/0/3bbd0fdb-abd4-434a-b79f-883cf144aebd.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/residence/98015-2333","30","80.000","02-03-2026","Selenium Panorama Residence Kiralık 1+1 Eşyalı Daire","Kiralık Residence","1 +
                          1","70 m²","17
                        Yaşında","10. Kat","İstanbul / Beşiktaş / Gayrettepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015/gulcin-gonul-2068637","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/1/4/9/6/9/5/4/186aaf97-db67-4c23-822c-6094770900ee.jpg","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/6/8/6/0/2/6bf57ef1-96dd-4954-a46c-ba149eff3f18.jpg","Artistanbul Gayrimenkul Zorlu Center","Gülçin
          Gönül","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/0/8/9/0/b6a73031-63c7-40f7-9a17-a85e62592e9e.jpg",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-yesilova-kiralik/daire/166891-22","24","50.000","01-03-2026","Yeşilova Mahallesi Kiralık 3+1 Daire","Kiralık Daire","3 +
                          1","120 m²","6
                        Yaşında","1. Kat","İstanbul / Küçükçekmece / Yeşilova Mah.","https://www.hepsiemlak.com/emlak-ofisi/dedeoglu-insaat-emlak-166891","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/9/7/5/0/2/6/4/59753094-bfdf-48de-a1d1-800a4fe1a04a.jpg","","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Dedeoğlu İnşaat & Emlak","","[object Object]","Hepsiemlak’ta Yeni Üye","",""
"https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-kiralik/daire/129481-1424","10","50.000","08-03-2026","","Kiralık Daire","2 +
                          1","75 m²","Sıfır Bina","2. Kat","İstanbul / Fatih / Seyyid Ömer Mah.","https://www.hepsiemlak.com/emlak-ofisi/vip-gayrimenkul-sehremini-129481/necmettin-yildirim-3271647","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/8/1/3/9/5/4/8be26b48-9681-4eb6-8000-ec61d83bac05.jpg","https://www.hepsiemlak.com/emlak-ofisi/vip-gayrimenkul-sehremini-129481","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/4/6/1/7/2/3/4016dd02-8805-4f45-a3ad-0aa5239944e6.jpg","Vıp Gayrimenkul Şehremini","Necmettin
          Yıldırım","","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/4/9/2/1/68481d31-3100-434c-b9ff-b6b9827a3d77.jpg","Vip Gayrımenkuldan Fatih Çapa Seyyid Ömerde 2+1 Kiralık Sıfır Daire"
